ts,p_anom,pred,p_healthy,p_congestion_breach,p_tunnel_degradation,p_bgp_route_flap,p_vrf_leakage
2026-07-21 17:12:00+00:00,0.6845937371253967,healthy,0.6570404171943665,0.00023718734155409038,0.008156652562320232,0.2989080846309662,0.03565765172243118
2026-07-21 17:12:30+00:00,0.5504545569419861,healthy,0.6265978813171387,0.00046092140837572515,0.002273795660585165,0.3317449390888214,0.03892248868942261
2026-07-21 17:13:00+00:00,0.6925153136253357,healthy,0.6575572490692139,0.000358180288458243,0.0033463407307863235,0.3097924590110779,0.028945745900273323
2026-07-21 17:13:30+00:00,0.1022997573018074,healthy(gate),0.802049458026886,0.00015063445607665926,0.0010719671845436096,0.1771661788225174,0.01956181414425373
2026-07-21 17:14:00+00:00,0.5071299076080322,bgp_route_flap,0.402152955532074,0.0006273901090025902,0.003936475608497858,0.5021383166313171,0.0911448523402214
2026-07-21 17:14:30+00:00,0.17498117685317993,healthy(gate),0.5408352017402649,0.00035398968611843884,0.008386634290218353,0.40533873438835144,0.045085448771715164
2026-07-21 17:15:00+00:00,0.22533342242240906,healthy(gate),0.6001344323158264,0.001596494810655713,0.001634315587580204,0.31600725650787354,0.08062744140625
2026-07-21 17:15:30+00:00,0.1501753032207489,healthy(gate),0.7215139269828796,0.0017716888105496764,0.00452776113525033,0.19040340185165405,0.08178326487541199
2026-07-21 17:16:00+00:00,0.3308993875980377,healthy(gate),0.6896589994430542,0.012837911024689674,0.0004267535696271807,0.22588863968849182,0.07118766009807587
2026-07-21 17:16:30+00:00,0.3939848840236664,healthy(gate),0.5641449689865112,0.010995939373970032,0.0013386995997279882,0.37522464990615845,0.048295777291059494
2026-07-21 17:17:00+00:00,0.28948214650154114,healthy(gate),0.7124307155609131,0.0032459923531860113,0.0016770341899245977,0.22185690701007843,0.060789383947849274
2026-07-21 17:17:30+00:00,0.35556742548942566,healthy(gate),0.46691158413887024,0.0021410782355815172,0.0008169829961843789,0.49102848768234253,0.039101842790842056
2026-07-21 17:18:00+00:00,0.36731353402137756,healthy(gate),0.27177855372428894,0.0020530966576188803,0.002334566554054618,0.6717143058776855,0.05211950093507767
2026-07-21 17:18:30+00:00,0.44356387853622437,healthy(gate),0.5530791878700256,0.001145372400060296,0.0014082933776080608,0.3885408937931061,0.05582623928785324
2026-07-21 17:19:00+00:00,0.4731834828853607,healthy(gate),0.3088253140449524,0.0013398252194747329,0.002772250911220908,0.6644369959831238,0.022625578567385674
2026-07-21 17:19:30+00:00,0.41580837965011597,healthy(gate),0.27919694781303406,0.0016201701946556568,0.007850966416299343,0.6839051842689514,0.02742674946784973
2026-07-21 17:20:00+00:00,0.4857543110847473,healthy(gate),0.3558991551399231,0.0011382389348000288,0.011263597756624222,0.5971757769584656,0.03452324867248535
2026-07-21 17:20:30+00:00,0.5287840962409973,healthy,0.54386967420578,0.0012979032471776009,0.01983478106558323,0.3863411545753479,0.048656489700078964
2026-07-21 17:21:00+00:00,0.44247791171073914,healthy(gate),0.5096086859703064,0.006044214125722647,0.32758858799934387,0.008524472825229168,0.1482340395450592
2026-07-21 17:21:30+00:00,0.6787700653076172,healthy,0.4448050260543823,0.0035455201286822557,0.4355218708515167,0.01225773524492979,0.10386991500854492
2026-07-21 17:22:00+00:00,0.6894630789756775,healthy,0.6012895107269287,0.010027638636529446,0.2236914038658142,0.08813608437776566,0.07685535401105881
2026-07-21 17:22:30+00:00,0.3907478153705597,healthy(gate),0.7778053283691406,0.0025704344734549522,0.09186983108520508,0.09153057634830475,0.03622382879257202
2026-07-21 17:23:00+00:00,0.4207976460456848,healthy(gate),0.639236569404602,0.0012443021405488253,0.030083943158388138,0.27556803822517395,0.05386712774634361
2026-07-21 17:23:30+00:00,0.17424887418746948,healthy(gate),0.8270781636238098,0.0008383079548366368,0.004838795401155949,0.1086047813296318,0.05863991007208824
2026-07-21 17:24:00+00:00,0.10128854960203171,healthy(gate),0.9057047963142395,0.0008154553943313658,0.0026157123502343893,0.05870148167014122,0.03216252103447914
2026-07-21 17:24:30+00:00,0.20200516283512115,healthy(gate),0.8734287619590759,0.0008190471562556922,0.005390483886003494,0.061486415565013885,0.05887526646256447
2026-07-21 17:25:00+00:00,0.29066792130470276,healthy(gate),0.8507018089294434,0.001069106045179069,0.0029982193373143673,0.07733102887868881,0.06789983808994293
2026-07-21 17:25:30+00:00,0.18925143778324127,healthy(gate),0.9114649295806885,0.0003368445613887161,0.0017769956029951572,0.035731248557567596,0.050690025091171265
2026-07-21 17:26:00+00:00,0.33879512548446655,healthy(gate),0.8122068643569946,0.0006663351086899638,0.002210345584899187,0.11634483188390732,0.06857166439294815
2026-07-21 17:26:30+00:00,0.2896491289138794,healthy(gate),0.8659210205078125,0.00036221614573150873,0.019093604758381844,0.05194874480366707,0.06267445534467697
2026-07-21 17:27:00+00:00,0.1925257295370102,healthy(gate),0.8900904059410095,0.000844427733682096,0.008011098951101303,0.03567810356616974,0.06537599116563797
2026-07-21 17:27:30+00:00,0.15734659135341644,healthy(gate),0.8828339576721191,0.0019031775882467628,0.013632687740027905,0.041759341955184937,0.05987081304192543
2026-07-21 17:28:00+00:00,0.28431692719459534,healthy(gate),0.9547299742698669,0.00016325693286489695,0.020450875163078308,0.002891693264245987,0.021764177829027176
2026-07-21 17:28:30+00:00,0.5116695761680603,healthy,0.5394723415374756,0.0014782978687435389,0.3487485945224762,0.011940935626626015,0.0983598455786705
2026-07-21 17:29:00+00:00,0.7972831130027771,tunnel_degradation,0.4439134895801544,0.0012264919932931662,0.4623379111289978,0.008773339912295341,0.08374874293804169
2026-07-21 17:29:30+00:00,0.6807218790054321,tunnel_degradation,0.35698044300079346,0.0014449628069996834,0.5638866424560547,0.008383265696465969,0.0693046897649765
2026-07-21 17:30:00+00:00,0.6544411182403564,tunnel_degradation,0.3659467101097107,0.0006568030803464353,0.5568373799324036,0.03825012221932411,0.03830895945429802
2026-07-21 17:30:30+00:00,0.3367098271846771,healthy(gate),0.8534547090530396,0.0011290167458355427,0.003781261621043086,0.07763763517141342,0.06399735808372498
2026-07-21 17:31:00+00:00,0.23361733555793762,healthy(gate),0.8295973539352417,0.0019171114545315504,0.007782476022839546,0.09979920834302902,0.060903895646333694
