fault_type,fault_start,breach_time,run_id
precursor_aborted,2026-07-16T15:21:23.734221+00:00,2026-07-16T15:21:52.162495+00:00,real_control_20260716_1924_60m_nm01
precursor_aborted,2026-07-16T15:37:38.940374+00:00,2026-07-16T15:38:18.837882+00:00,real_control_20260716_1924_60m_nm02
precursor_aborted,2026-07-16T15:48:16.252304+00:00,2026-07-16T15:48:50.651820+00:00,real_control_20260716_1924_60m_nm03
precursor_aborted,2026-07-16T15:55:25.692175+00:00,2026-07-16T15:55:56.775449+00:00,real_control_20260716_1924_60m_nm04
