fault_type,fault_start,breach_time,run_id
precursor_aborted,2026-07-18T04:36:20.168717+00:00,2026-07-18T04:37:11.724671+00:00,real_control_20260718_0848_60m_nm01
precursor_aborted,2026-07-18T04:44:51.447674+00:00,2026-07-18T04:45:35.710104+00:00,real_control_20260718_0848_60m_nm02
precursor_aborted,2026-07-18T05:01:04.706220+00:00,2026-07-18T05:01:34.813800+00:00,real_control_20260718_0848_60m_nm03
precursor_aborted,2026-07-18T05:10:04.323491+00:00,2026-07-18T05:10:58.507539+00:00,real_control_20260718_0848_60m_nm04
