ts,p_anom,pred,p_healthy,p_congestion_breach,p_tunnel_degradation,p_bgp_route_flap,p_vrf_leakage,vrf_mean,bgp_mean,bgp_std,bgp_slope
2026-07-21 17:35:45+00:00,0.014511896297335625,healthy(gate),0.9817411303520203,9.269478323403746e-05,0.0055588530376553535,0.0016043548239395022,0.011002892628312111,0.0,,,
2026-07-21 17:36:15+00:00,0.41408926248550415,healthy(gate),0.7311883568763733,0.0008848209981806576,0.11277700960636139,0.008833140134811401,0.14631664752960205,0.2,,,
2026-07-21 17:36:45+00:00,0.6871448755264282,healthy,0.47343161702156067,0.00044766333303414285,0.4586126506328583,0.00453388225287199,0.06297419220209122,0.4,,,
2026-07-21 17:37:15+00:00,0.9323089122772217,tunnel_degradation,0.032202333211898804,0.0001026311656460166,0.956246554851532,0.00041460871580056846,0.01103380136191845,0.6,,,
2026-07-21 17:37:45+00:00,0.8754125833511353,tunnel_degradation,0.12946005165576935,0.00018946707132272422,0.8597061634063721,0.0007114219479262829,0.009932843036949635,0.8,,,
2026-07-21 17:38:15+00:00,0.9416996836662292,tunnel_degradation,0.03105155937373638,9.529942326480523e-05,0.9648663401603699,0.0001744835899444297,0.0038122606929391623,1.0,,,
2026-07-21 17:38:45+00:00,0.942045271396637,tunnel_degradation,0.12476325035095215,0.000736326677724719,0.8660702109336853,0.0003326170553918928,0.0080975741147995,1.2,,,
2026-07-21 17:39:15+00:00,0.9765867590904236,tunnel_degradation,0.018613791093230247,0.0001473752490710467,0.9737762212753296,0.00013203428534325212,0.007330580614507198,1.4,,,
2026-07-21 17:39:45+00:00,0.9930964112281799,tunnel_degradation,0.01159335020929575,0.00023166375467553735,0.9800060987472534,0.00015492606326006353,0.008013984188437462,1.6,,,
2026-07-21 17:40:15+00:00,0.909420371055603,tunnel_degradation,0.1286385953426361,0.0006441002478823066,0.8632352948188782,0.00020804652012884617,0.007273947354406118,1.8,,,
2026-07-21 17:40:45+00:00,0.9063637852668762,tunnel_degradation,0.17141535878181458,0.0005686945514753461,0.819357693195343,0.0002448967134114355,0.00841336976736784,2.0,,,
2026-07-21 17:41:15+00:00,0.9021711945533752,tunnel_degradation,0.10103257745504379,0.0011825094697996974,0.8835939168930054,0.000267346651526168,0.013923649676144123,2.2,,,
2026-07-21 17:41:45+00:00,0.8206989169120789,tunnel_degradation,0.18537376821041107,0.0005684029310941696,0.808498203754425,0.00011517043458297849,0.005444432143121958,2.4,,,
2026-07-21 17:42:15+00:00,0.9267675876617432,tunnel_degradation,0.13582567870616913,0.001977241598069668,0.8471316695213318,0.00023260543821379542,0.014832818880677223,2.6,,,
2026-07-21 17:42:45+00:00,0.5810962915420532,tunnel_degradation,0.24794338643550873,0.0010051717981696129,0.7457051873207092,0.00011774629820138216,0.005228499416261911,2.8,,,
2026-07-21 17:43:15+00:00,0.4001023471355438,healthy(gate),0.2998877465724945,0.0004108249850105494,0.6964632868766785,7.469558477168903e-05,0.003163399873301387,3.0,,,
2026-07-21 17:43:45+00:00,0.254690945148468,healthy(gate),0.9499214291572571,0.0006898626452311873,0.029307296499609947,0.0001901326177176088,0.019891325384378433,3.2,,,
2026-07-21 17:44:15+00:00,0.45984116196632385,healthy(gate),0.9191230535507202,0.0007789519149810076,0.04978640750050545,0.00022413091210182756,0.03008749708533287,3.4,,,
2026-07-21 17:44:45+00:00,0.29998862743377686,healthy(gate),0.8819164037704468,0.0010105647379532456,0.03131016716361046,0.0002726493403315544,0.08549020439386368,3.6,,,
2026-07-21 17:45:15+00:00,0.114036925137043,healthy(gate),0.9659647345542908,0.0013369276421144605,0.007737122941762209,0.00011166235344717279,0.024849485605955124,3.8,,,
2026-07-21 17:45:45+00:00,0.01716015860438347,healthy(gate),0.988562822341919,0.002528296085074544,0.0027328261639922857,3.328563616378233e-05,0.006142810452729464,4.0,,,
2026-07-21 17:46:15+00:00,0.007519689854234457,healthy(gate),0.9986075758934021,0.00019298215920571238,0.0006964303320273757,2.565061549830716e-05,0.00047743096365593374,4.0,,,
2026-07-21 17:46:45+00:00,0.010622365400195122,healthy(gate),0.9965676069259644,0.0003448105708230287,0.0009362148703075945,3.142263085464947e-05,0.0021198943722993135,4.0,,,
2026-07-21 17:47:15+00:00,0.02777467854321003,healthy(gate),0.9936133027076721,0.0008806724799796939,0.0017576818354427814,7.127071876311675e-05,0.0036770354490727186,4.0,,,
