ts,p_anom,pred,p_healthy,p_congestion_breach,p_tunnel_degradation,p_bgp_route_flap,p_vrf_leakage,vrf_mean,bgp_mean,bgp_std,bgp_slope
2026-07-21 17:35:45+00:00,0.014783719554543495,healthy(gate),0.9857503175735474,8.493266068398952e-05,0.0006714604678563774,0.0023793380241841078,0.011113989166915417,0.0,691.0,0.0,0.0
2026-07-21 17:36:15+00:00,0.6360533833503723,tunnel_degradation,0.27218571305274963,0.0061971512623131275,0.45191091299057007,0.008608441799879074,0.2610977292060852,0.0,691.0,0.0,0.0
2026-07-21 17:36:45+00:00,0.9006020426750183,tunnel_degradation,0.03041999600827694,0.000394151866203174,0.88338303565979,0.0008637612336315215,0.08493904769420624,0.0,691.0,0.0,0.0
2026-07-21 17:37:15+00:00,0.940419614315033,tunnel_degradation,0.047131236642599106,0.0005187286878935993,0.7481299638748169,0.00044208692270331085,0.2037779539823532,0.0,691.0,0.0,0.0
2026-07-21 17:37:45+00:00,0.8880343437194824,tunnel_degradation,0.0702504813671112,0.0008105591405183077,0.8974053859710693,0.0005024612764827907,0.03103110007941723,0.0,691.0,0.0,0.0
2026-07-21 17:38:15+00:00,0.9549654126167297,tunnel_degradation,0.03865576162934303,0.001826925203204155,0.941591203212738,0.0007937726913951337,0.017132259905338287,0.0,691.0,0.0,0.0
2026-07-21 17:38:45+00:00,0.9657987356185913,tunnel_degradation,0.06052242964506149,0.002996287541463971,0.9165886044502258,0.0008363835513591766,0.019056273624300957,0.0,691.0,0.0,0.0
2026-07-21 17:39:15+00:00,0.9439117312431335,tunnel_degradation,0.07399937510490417,0.0027937726117670536,0.899141788482666,0.0010915371822193265,0.022973529994487762,0.0,691.0,0.0,0.0
2026-07-21 17:39:45+00:00,0.94908207654953,tunnel_degradation,0.07811117172241211,0.002477798145264387,0.8992920517921448,0.0009464909671805799,0.01917249523103237,0.0,691.0,0.0,0.0
2026-07-21 17:40:15+00:00,0.9121791124343872,tunnel_degradation,0.11132499575614929,0.002505301497876644,0.8699478507041931,0.000480418442748487,0.015741389244794846,0.0,691.0,0.0,0.0
2026-07-21 17:40:45+00:00,0.7857493162155151,tunnel_degradation,0.11570040881633759,0.0017481077229604125,0.8780989050865173,0.00014266930520534515,0.004309873562306166,0.0,691.0,0.0,0.0
2026-07-21 17:41:15+00:00,0.6948350071907043,tunnel_degradation,0.29770365357398987,0.0020327353850007057,0.6944431066513062,0.00019131117733195424,0.005629201419651508,0.0,691.0,0.0,0.0
2026-07-21 17:41:45+00:00,0.6418846249580383,tunnel_degradation,0.4102098047733307,0.0023170404601842165,0.5803455710411072,0.00020130314806010574,0.006926290225237608,0.0,691.0,0.0,0.0
2026-07-21 17:42:15+00:00,0.586179256439209,tunnel_degradation,0.3831791281700134,0.002018190920352936,0.6122826337814331,0.00013711936480831355,0.002382909180596471,0.0,691.0,0.0,0.0
2026-07-21 17:42:45+00:00,0.56044602394104,healthy,0.9071444869041443,0.003772434778511524,0.08489959686994553,0.00024660269264131784,0.003936863038688898,0.0,691.0,0.0,0.0
2026-07-21 17:43:15+00:00,0.4236854016780853,healthy(gate),0.9065029621124268,0.00274825980886817,0.0718509778380394,0.00035596967791207135,0.018541865050792694,0.0,691.0,0.0,0.0
