ts,p_anom,pred,p_healthy,p_congestion_breach,p_tunnel_degradation,p_bgp_route_flap,p_vrf_leakage,vrf_mean,bgp_mean,bgp_std,bgp_slope
2026-07-21 17:53:27+00:00,0.1830313503742218,healthy(gate),0.9321608543395996,0.000704739592038095,0.0005840808735229075,0.0012381371343508363,0.06531219929456711,0.0,691.0,0.0,0.0
2026-07-21 17:53:57+00:00,0.6970767974853516,healthy,0.8496406078338623,0.003625675803050399,0.0010797183495014906,0.0032047259155660868,0.14244922995567322,0.0,691.15,0.6621642835894543,0.0
2026-07-21 17:54:27+00:00,0.7275846600532532,healthy,0.5253062844276428,0.0010957294143736362,0.0003831119101960212,0.0015657603507861495,0.4716491401195526,0.0,691.3,0.9114654303753097,0.0
2026-07-21 17:54:57+00:00,0.6050354838371277,healthy,0.7173001170158386,0.0006473208777606487,0.0010464563965797424,0.002314747544005513,0.2786914110183716,0.0,691.5,1.2194996872404347,0.0
2026-07-21 17:55:27+00:00,0.6672679781913757,healthy,0.89747554063797,0.0011245254427194595,0.0009207118418999016,0.0021255889441818,0.09835360199213028,0.0,691.7,1.4358058578855566,0.0
2026-07-21 17:55:57+00:00,0.7714093327522278,healthy,0.6299734115600586,0.0005416312487795949,0.0008209837833419442,0.0021917750127613544,0.3664722144603729,0.0,691.9,1.5980757659905165,0.0
2026-07-21 17:56:27+00:00,0.6132413148880005,vrf_leakage,0.478137344121933,0.0021815320942550898,0.0008385454420931637,0.00227966601960361,0.5165629386901855,0.0,692.1,1.7216569240422408,0.0
2026-07-21 17:56:57+00:00,0.5133289694786072,healthy,0.5060227513313293,0.0008353329612873495,0.0006939377635717392,0.0011679328745231032,0.49128004908561707,0.0,692.3,1.8144717391868346,0.0
2026-07-21 17:57:27+00:00,0.5234677195549011,healthy,0.539692759513855,0.0013127847341820598,0.0006112122791819274,0.0015347306616604328,0.45684850215911865,0.0,692.5,1.8810798862519116,0.0
2026-07-21 17:57:57+00:00,0.5594608783721924,healthy,0.6171307563781738,0.0012836423702538013,0.000615555967669934,0.001450044335797429,0.3795200288295746,0.0,692.7,1.9242047974589447,0.0
2026-07-21 17:58:27+00:00,0.5793884992599487,healthy,0.5155889391899109,0.0010335884289816022,0.0010171449976041913,0.0016121889930218458,0.48074814677238464,0.0,692.9,1.945408796272707,0.0
2026-07-21 17:58:57+00:00,0.6952019333839417,vrf_leakage,0.35796162486076355,0.0012109029339626431,0.00031030079117044806,0.001405416987836361,0.6391117572784424,0.0,693.175,2.074107778521352,0.2
2026-07-21 17:59:27+00:00,0.6702443957328796,vrf_leakage,0.426216721534729,0.0011278456076979637,0.00030638600583188236,0.0014100471744313836,0.5709390044212341,0.0,693.525,2.26441252923658,0.0
2026-07-21 17:59:57+00:00,0.8083903193473816,vrf_leakage,0.4463236629962921,0.0012649073032662272,0.0006518195732496679,0.013943225145339966,0.5378164052963257,0.0,693.925,2.4846967518627356,0.0
2026-07-21 18:00:27+00:00,0.8473778963088989,vrf_leakage,0.3234249949455261,0.000569771567825228,0.00022126358817331493,0.015175365842878819,0.6606085896492004,0.0,694.325,2.6251984052002024,0.0
