fault_type,fault_start,breach_time,run_id
vrf_leakage,2026-07-19 18:07:43.329904+00:00,2026-07-19 18:14:16.474624+00:00,real_compound_overlap_w2_20260719_2045__compound_tunnel_degradation_03_vrf_leakage
tunnel_degradation,2026-07-19 18:29:42.588648+00:00,2026-07-19 18:38:38.907034+00:00,real_compound_overlap_w2_20260719_2045__compound_tunnel_degradation_04_tunnel_degradation
vrf_leakage,2026-07-19 18:29:42.588852+00:00,2026-07-19 18:38:11.838080+00:00,real_compound_overlap_w2_20260719_2045__compound_tunnel_degradation_04_vrf_leakage
bgp_route_flap,2026-07-19 18:56:04.763642+00:00,2026-07-19 19:06:16.673422+00:00,real_compound_overlap_w2_20260719_2045__compound_bgp_route_flap_02_bgp_route_flap
vrf_leakage,2026-07-19 18:56:04.763808+00:00,2026-07-19 19:03:46.816033+00:00,real_compound_overlap_w2_20260719_2045__compound_bgp_route_flap_02_vrf_leakage
bgp_route_flap,2026-07-19 19:18:53.336330+00:00,2026-07-19 19:29:57.851386+00:00,real_compound_overlap_w2_20260719_2045__compound_bgp_route_flap_03_bgp_route_flap
vrf_leakage,2026-07-19 19:18:53.336556+00:00,2026-07-19 19:23:57.325824+00:00,real_compound_overlap_w2_20260719_2045__compound_bgp_route_flap_03_vrf_leakage
bgp_route_flap,2026-07-19 19:40:18.907866+00:00,2026-07-19 19:51:54.267098+00:00,real_compound_overlap_w2_20260719_2045__compound_bgp_route_flap_04_bgp_route_flap
vrf_leakage,2026-07-19 19:40:18.908113+00:00,2026-07-19 19:49:08.235817+00:00,real_compound_overlap_w2_20260719_2045__compound_bgp_route_flap_04_vrf_leakage
precursor_aborted,2026-07-17 18:28:59.568203+00:00,2026-07-17 18:29:25.660807+00:00,real_spec_data_20260717_2352__nm_pe1_001
precursor_aborted,2026-07-17 18:34:14.325056+00:00,2026-07-17 18:34:45.489714+00:00,real_spec_data_20260717_2352__nm_pe1_002
precursor_aborted,2026-07-17 18:41:33.438371+00:00,2026-07-17 18:42:21.093352+00:00,real_spec_data_20260717_2352__nm_pe1_003
precursor_aborted,2026-07-17 18:47:49.410620+00:00,2026-07-17 18:48:30.544576+00:00,real_spec_data_20260717_2352__nm_pe1_004
precursor_aborted,2026-07-17 18:55:00.675292+00:00,2026-07-17 18:55:47.880618+00:00,real_spec_data_20260717_2352__nm_pe1_005
precursor_aborted,2026-07-17 19:02:01.357672+00:00,2026-07-17 19:02:52.462759+00:00,real_spec_data_20260717_2352__nm_pe1_006
precursor_aborted,2026-07-17 19:09:18.875450+00:00,2026-07-17 19:10:00.440569+00:00,real_spec_data_20260717_2352__nm_pe1_007
precursor_aborted,2026-07-17 19:15:18.893667+00:00,2026-07-17 19:16:00.029789+00:00,real_spec_data_20260717_2352__nm_pe1_008
precursor_aborted,2026-07-17 19:20:43.737531+00:00,2026-07-17 19:21:14.966099+00:00,real_spec_data_20260717_2352__nm_pe2_001
precursor_aborted,2026-07-17 19:26:21.222984+00:00,2026-07-17 19:26:58.446341+00:00,real_spec_data_20260717_2352__nm_pe2_002
