timestamp,probe_id,rtt_ms,rtt_min_ms,rtt_max_ms,packet_loss_pct,dst_addr,metric,source
2026-07-13T14:24:24+00:00,1011710,95.97409166666667,92.628198,101.383216,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:21:12+00:00,1011711,27.980088666666663,26.191993,31.096026,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:21:15+00:00,1011712,4.8838,4.312684,5.82172,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:22:08+00:00,1011713,9.211026666666667,8.92821,9.555181,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:20:17+00:00,1011717,3.044226333333333,0.815565,6.037907,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:20:44+00:00,1011718,1.8020973333333334,1.801295,1.803119,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:21:35+00:00,1011719,10.892875333333334,10.593598,11.25351,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:19:39+00:00,1011721,8.105204333333333,7.949,8.242816,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:22:58+00:00,1011722,269.383988,269.152983,269.550542,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:22:02+00:00,1011724,121.84984200000001,121.835517,121.872397,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:21:06+00:00,1011726,-1.0,-1.0,-1.0,100.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:24:55+00:00,1011727,7.302046,7.111443,7.421639,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:21:33+00:00,1011732,2.426438,2.364286,2.483667,0.0,193.0.14.129,ping,ripe_atlas
2026-07-12T08:09:27+00:00,1011735,76.59348166666668,76.415963,76.860375,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:23:42+00:00,1011736,-1.0,-1.0,-1.0,100.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:24:33+00:00,1011737,43.034222,42.731822,43.635772,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:22:48+00:00,1011738,37.69548066666667,37.531466,37.930176,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:23:39+00:00,1011739,48.95061333333334,41.08513,64.62358,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:21:37+00:00,1011740,37.01694533333333,36.781291,37.154002,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:21:26+00:00,1011741,16.283833666666666,9.62331,21.448026,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:22:21+00:00,1011743,-1.0,-1.0,-1.0,100.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:21:49+00:00,1011749,28.918622,28.843512,28.992466,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:25:03+00:00,1011751,2.2029713333333336,1.935099,2.470565,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:23:43+00:00,1011760,68.643546,68.541959,68.697837,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:21:20+00:00,1011765,31.338206666666668,31.314296,31.355857,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:20:58+00:00,1011775,42.42783766666667,32.019426,59.360061,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:22:11+00:00,1011783,3.952522666666667,3.884559,4.064269,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:20:21+00:00,1011787,202.05205899999999,201.931412,202.114522,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:21:04+00:00,1011788,3.831277666666667,3.442145,4.101209,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:20:55+00:00,1011789,19.37409633333333,19.322228,19.440532,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:24:06+00:00,1011790,78.967624,78.854515,79.047304,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:24:56+00:00,1011791,149.456716,149.315824,149.527823,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:25:00+00:00,1011792,63.71412633333333,60.575091,69.817365,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:21:50+00:00,1011793,9.39756,9.289768,9.595088,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:22:16+00:00,1011794,54.834898333333335,54.129908,56.174851,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:24:00+00:00,1011797,0.910848,0.687459,1.285711,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:19:42+00:00,1011798,56.77905233333333,53.81429,61.493167,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:24:35+00:00,1011799,192.26159233333337,192.207179,192.309849,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:22:17+00:00,1011800,155.78975633333334,155.738326,155.874833,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:23:23+00:00,1011807,7.749743666666667,7.715795,7.797101,0.0,193.0.14.129,ping,ripe_atlas
2026-07-13T14:21:58+00:00,1011808,57.06429133333333,55.810622,58.55211,0.0,193.0.14.129,ping,ripe_atlas
