timestamp,host,drop_out_rate,jitter_ms,latency_ms,packet_loss_pct,throughput_in_bps,throughput_out_bps,throughput_in_mbps,throughput_out_mbps,fault_type,run_id
2026-07-13T10:23:44+00:00,station1,0.0,2542.938,3031.894,100.0,559018.8727272727,11168619.109090907,4.4721509818181815,89.34895287272727,none,
2026-07-13T10:23:44+00:00,ubuntu,0.0,0.2645,1.1685,0.0,13101911.527272727,658358.5818181818,104.81529221818182,5.266868654545454,none,
2026-07-13T10:23:59+00:00,station1,0.0,3.967,3.781,0.0,489043.16363636364,11386653.654545454,3.912345309090909,91.09322923636364,none,
2026-07-13T10:23:59+00:00,ubuntu,0.0,2.459,1.9865,0.0,9473699.545454545,435383.6363636363,75.78959636363636,3.4830690909090904,none,
2026-07-13T10:24:14+00:00,station1,0.0,836.095,1125.503,0.0,355148.06734300574,8774775.662703175,2.841184538744046,70.1982053016254,none,
2026-07-13T10:24:14+00:00,ubuntu,0.0,416.5365,566.9615,0.0,11006480.563636363,466772.0909090909,88.0518445090909,3.734176727272727,none,
2026-07-13T10:24:29+00:00,station1,0.0,0.0,4183.683,90.0,457179.7818181818,11007803.563636363,3.6574382545454545,88.0624285090909,none,
2026-07-13T10:24:29+00:00,ubuntu,0.0,416.457,566.8725000000001,0.0,8772019.654545454,350121.72727272724,70.17615723636364,2.800973818181818,none,
2026-07-13T10:24:44+00:00,station1,0.0,0.0,4183.683,90.0,411009.2727272727,10190046.127272727,3.288074181818182,81.52036901818181,none,
2026-07-13T10:24:44+00:00,ubuntu,0.0,0.081,1.2934999999999999,45.0,11306810.654545454,467172.27272727276,90.45448523636364,3.737378181818182,none,
2026-07-13T10:24:59+00:00,station1,0.0,0.0,2.524,100.0,625016.709090909,13026505.854545454,5.000133672727272,104.21204683636363,none,
2026-07-13T10:24:59+00:00,ubuntu,0.0,0.193,1.256,45.0,11171123.272727273,537573.4727272727,89.36898618181819,4.300587781818181,none,
2026-07-13T10:25:14+00:00,station1,0.0,0.05,0.218,0.0,447373.8363636363,9326069.527272727,3.5789906909090905,74.60855621818182,none,
2026-07-13T10:25:14+00:00,ubuntu,0.0,0.0315,0.27149999999999996,0.0,10441167.454545455,503215.61818181816,83.52933963636364,4.025724945454545,none,
2026-07-13T10:25:29+00:00,station1,0.0,0.04,0.246,80.0,431078.7454545454,8886321.963636363,3.4486299636363635,71.0905757090909,none,
2026-07-13T10:25:29+00:00,ubuntu,0.0,0.229,1.134,0.0,6650135.6,323993.7090909091,53.2010848,2.591949672727273,none,
2026-07-13T10:25:44+00:00,station1,0.0,833.407,1131.106,0.0,328398.4727272727,6649265.218181818,2.627187781818182,53.194121745454545,none,
2026-07-13T10:25:44+00:00,ubuntu,0.0,416.563,567.2415000000001,0.0,8882637.290909091,440072.12727272726,71.06109832727273,3.520577018181818,none,
2026-07-13T10:25:59+00:00,station1,0.0,1142.93,3470.949,20.0,444738.3818181818,8883290.290909091,3.557907054545454,71.06632232727273,none,
2026-07-13T10:25:59+00:00,ubuntu,0.0,0.218,3.2605,45.0,7377774.509090909,372388.85454545455,59.02219607272727,2.9791108363636365,none,
2026-07-13T10:26:14+00:00,station1,0.0,1421.865,1974.292,0.0,537676.7090909091,10729768.109090907,4.301413672727273,85.83814487272726,none,
2026-07-13T10:26:14+00:00,ubuntu,0.0,710.3695,987.0285,0.0,11844937.545454543,595799.9454545453,94.75950036363635,4.766399563636362,none,
2026-07-13T10:26:29+00:00,station1,0.0,0.082,0.266,0.0,581053.8363636363,11615201.4,4.64843069090909,92.9216112,none,
2026-07-13T10:26:29+00:00,ubuntu,0.0,0.0065,0.20600000000000002,0.0,10498123.545454543,527591.8181818182,83.98498836363635,4.220734545454546,none,
2026-07-13T10:26:44+00:00,station1,0.0,0.031,0.245,0.0,357826.4,7148589.454545454,2.8626112000000004,57.18871563636363,none,
2026-07-13T10:26:44+00:00,ubuntu,0.0,0.0615,0.544,0.0,8877774.945454545,447627.54545454535,71.02219956363636,3.581020363636363,none,
2026-07-13T10:26:59+00:00,station1,0.0,1.174,1.55,0.0,443741.3272727272,8878500.345454546,3.5499306181818175,71.02800276363637,none,
