fault_type,fault_start,breach_time,run_id
precursor_aborted,2026-07-18T20:41:12.314058+00:00,2026-07-18T20:41:58.090618+00:00,real_blind_vrfcheck_20260719_0210_45m_nm01
tunnel_degradation,2026-07-18T20:44:18.392619+00:00,2026-07-18T20:50:37.595149+00:00,real_blind_vrfcheck_20260719_0210_45m_cg01_e01_tunnel_degradation
vrf_leakage,2026-07-18T20:44:18.392946+00:00,2026-07-18T20:51:23.992619+00:00,real_blind_vrfcheck_20260719_0210_45m_cg01_e02_vrf_leakage
precursor_aborted,2026-07-18T20:56:02.739089+00:00,2026-07-18T20:56:47.783860+00:00,real_blind_vrfcheck_20260719_0210_45m_nm02
bgp_route_flap,2026-07-18T20:58:07.067216+00:00,2026-07-18T21:10:07.404590+00:00,real_blind_vrfcheck_20260719_0210_45m_e03_bgp_route_flap
