timestamp,host,bgp_update_rate,drop_out_rate,jitter_ms,latency_ms,packet_loss_pct,throughput_in_bps,throughput_out_bps,throughput_in_mbps,throughput_out_mbps,fault_type,event_phase,circumstance_label,run_id
2026-07-15T19:15:34+00:00,station1,,0.0,0.572,3.171,0.0,595020.5636363636,12348649.509090908,4.760164509090909,98.78919607272726,none,none,healthy,
2026-07-15T19:15:34+00:00,station2,,0.0,0.814,2.798,0.0,12347276.709090909,596445.3818181817,98.77821367272728,4.771563054545454,none,none,healthy,
2026-07-15T19:15:34+00:00,station3,,0.0,500.896,4999.374,80.0,243.27272727272728,1314.3636363636363,0.0019461818181818183,0.01051490909090909,none,none,healthy,
2026-07-15T19:15:49+00:00,station1,,0.0,0.047,0.174,0.0,480500.34545454546,10473787.6,3.8440027636363636,83.7903008,none,none,healthy,
2026-07-15T19:15:49+00:00,station2,,0.0,0.458,0.526,0.0,10472525.163636362,481545.3272727272,83.7802013090909,3.8523626181818176,none,none,healthy,
2026-07-15T19:15:49+00:00,station3,,0.0,0.059,0.238,0.0,219.74545454545452,1093.381818181818,0.0017579636363636362,0.008747054545454545,none,none,healthy,
2026-07-15T19:16:04+00:00,station1,,0.0,0.252,0.814,0.0,441404.94545454544,10629788.38181818,3.5312395636363636,85.03830705454544,none,none,healthy,
2026-07-15T19:16:04+00:00,station2,,0.0,0.173,0.785,0.0,10628198.709090909,442664.69090909086,85.02558967272728,3.541317527272727,none,none,healthy,
2026-07-15T19:16:04+00:00,station3,,0.0,0.117,0.762,0.0,254.39999999999998,1301.5272727272725,0.0020352,0.01041221818181818,none,none,healthy,
2026-07-15T19:16:19+00:00,station1,,0.0,0.112,0.809,0.0,338523.1541244704,8394592.5164997,2.7081852329957634,67.1567401319976,none,none,healthy,
2026-07-15T19:16:19+00:00,station2,,0.0,0.018,0.749,0.0,8393549.254545454,339566.61818181816,67.14839403636363,2.7165329454545453,none,none,healthy,
2026-07-15T19:16:19+00:00,station3,,0.0,0.059,0.884,0.0,198.76363636363632,1083.4181818181817,0.0015901090909090905,0.008667345454545453,none,none,healthy,
2026-07-15T19:16:34+00:00,station1,,0.0,0.138,0.923,0.0,455573.67272727273,10628709.218181817,3.644589381818182,85.02967374545453,none,none,healthy,
2026-07-15T19:16:34+00:00,station2,,0.0,0.079,0.795,0.0,10627349.181818182,456654.79999999993,85.01879345454546,3.6532383999999993,none,none,healthy,
2026-07-15T19:16:34+00:00,station3,,0.0,0.024,0.615,0.0,247.85454545454544,1297.4363636363635,0.0019828363636363636,0.010379490909090908,none,none,healthy,
2026-07-15T19:16:49+00:00,station1,,0.0,0.238,0.85,0.0,516360.82980309444,10414028.490391083,4.130886638424755,83.31222792312866,none,none,healthy,
