timestamp,host,metric,value
2026-07-14T17:15:47+00:00,station1,throughput_in_bps,325.54545454545456
2026-07-14T17:16:02+00:00,station1,throughput_in_bps,273.4363636363636
2026-07-14T17:16:17+00:00,station1,throughput_in_bps,326.6363636363636
2026-07-14T17:16:32+00:00,station1,throughput_in_bps,273.43139215650626
2026-07-14T17:16:47+00:00,station1,throughput_in_bps,326.6363636363636
2026-07-14T17:17:02+00:00,station1,throughput_in_bps,271.79505827166776
2026-07-14T17:17:17+00:00,station1,throughput_in_bps,325.5217802341648
2026-07-14T17:17:32+00:00,station1,throughput_in_bps,273.44133529700537
2026-07-14T17:17:47+00:00,station1,throughput_in_bps,326.6304249013654
2026-07-14T17:18:02+00:00,station1,throughput_in_bps,271.7851753540716
2026-07-14T17:18:17+00:00,station1,throughput_in_bps,325.54545454545456
2026-07-14T17:18:32+00:00,station1,throughput_in_bps,272.3454545454545
2026-07-14T17:18:47+00:00,station1,throughput_in_bps,325.54545454545456
2026-07-14T17:19:02+00:00,station1,throughput_in_bps,270.7041690151088
2026-07-14T17:19:17+00:00,station1,throughput_in_bps,325.52769848917336
2026-07-14T17:19:32+00:00,station1,throughput_in_bps,273.4363636363636
2026-07-14T17:19:47+00:00,station1,throughput_in_bps,324.4545454545454
2026-07-14T17:20:02+00:00,station1,throughput_in_bps,273.4363636363636
2026-07-14T17:20:17+00:00,station1,throughput_in_bps,325.54545454545456
2026-07-14T17:20:32+00:00,station1,throughput_in_bps,273.4363636363636
2026-07-14T17:20:47+00:00,station1,throughput_in_bps,326.6423025873198
2026-07-14T17:21:02+00:00,station1,throughput_in_bps,273.44133529700537
2026-07-14T17:21:17+00:00,station1,throughput_in_bps,324.6913804701562
2026-07-14T17:21:32+00:00,station1,throughput_in_bps,274.2363636363636
2026-07-14T17:21:47+00:00,station1,throughput_in_bps,326.3454545454545
2026-07-14T17:22:02+00:00,station1,throughput_in_bps,273.85130098005345
2026-07-14T17:22:17+00:00,station1,throughput_in_bps,326.9451060966962
2026-07-14T17:22:32+00:00,station1,throughput_in_bps,274.8181818181818
2026-07-14T17:22:47+00:00,station1,throughput_in_bps,326.92727272727274
2026-07-14T17:23:02+00:00,station1,throughput_in_bps,273.3272727272727
2026-07-14T17:23:17+00:00,station1,throughput_in_bps,325.53953564480645
2026-07-14T17:23:32+00:00,station1,throughput_in_bps,271.8049419080347
2026-07-14T17:23:47+00:00,station1,throughput_in_bps,325.54545454545456
2026-07-14T17:24:02+00:00,station1,throughput_in_bps,273.43139215650626
2026-07-14T17:24:17+00:00,station1,throughput_in_bps,332.27272727272725
2026-07-14T17:24:32+00:00,station1,throughput_in_bps,280.6363636363636
2026-07-14T17:24:47+00:00,station1,throughput_in_bps,344.4846457337139
2026-07-14T17:25:02+00:00,station1,throughput_in_bps,293.29624174985
2026-07-14T17:25:17+00:00,station1,throughput_in_bps,346.6727272727273
2026-07-14T17:25:32+00:00,station1,throughput_in_bps,284.1272727272727
2026-07-14T17:25:47+00:00,station1,throughput_in_bps,334.4484645733714
2026-07-14T17:26:02+00:00,station1,throughput_in_bps,274.84954819003286
2026-07-14T17:26:17+00:00,station1,throughput_in_bps,327.83040308358034
2026-07-14T17:26:32+00:00,station1,throughput_in_bps,272.99999999999994
2026-07-14T17:26:47+00:00,station1,throughput_in_bps,328.90933221824264
2026-07-14T17:27:02+00:00,station1,throughput_in_bps,275.72727272727275
2026-07-14T17:27:17+00:00,station1,throughput_in_bps,328.92727272727274
2026-07-14T17:27:32+00:00,station1,throughput_in_bps,274.6313703387211
2026-07-14T17:27:47+00:00,station1,throughput_in_bps,326.7395138270213
2026-07-14T17:28:02+00:00,station1,throughput_in_bps,272.45454545454544
2026-07-14T17:28:17+00:00,station1,throughput_in_bps,327.8363636363636
2026-07-14T17:28:32+00:00,station1,throughput_in_bps,274.6363636363636
2026-07-14T17:28:47+00:00,station1,throughput_in_bps,326.2
2026-07-14T17:29:02+00:00,station1,throughput_in_bps,274.6313703387211
2026-07-14T17:29:17+00:00,station1,throughput_in_bps,425.77137766141203
2026-07-14T17:29:32+00:00,station1,throughput_in_bps,373.66133929707814
2026-07-14T17:29:47+00:00,station1,throughput_in_bps,426.86230658739254
2026-07-14T17:30:02+00:00,station1,throughput_in_bps,274.6413571155839
2026-07-14T17:30:17+00:00,station1,throughput_in_bps,327.8423244058983
2026-07-14T17:30:32+00:00,station1,throughput_in_bps,273.54545454545456
2026-07-14T17:30:47+00:00,station1,throughput_in_bps,326.7632779969816
2026-07-14T17:31:02+00:00,station1,throughput_in_bps,272.99999999999994
2026-07-14T17:31:17+00:00,station1,throughput_in_bps,325.54545454545456
2026-07-14T17:31:32+00:00,station1,throughput_in_bps,272.3454545454545
2026-07-14T17:31:47+00:00,station1,throughput_in_bps,325.56321253886574
2026-07-14T17:32:02+00:00,station1,throughput_in_bps,270.7090909090909
2026-07-14T17:32:17+00:00,station1,throughput_in_bps,325.54545454545456
2026-07-14T17:32:32+00:00,station1,throughput_in_bps,273.4214497391051
2026-07-14T17:32:47+00:00,station1,throughput_in_bps,327.72727272727275
2026-07-14T17:33:02+00:00,station1,throughput_in_bps,270.6894044069522
2026-07-14T17:33:17+00:00,station1,throughput_in_bps,326.75139547991785
2026-07-14T17:33:32+00:00,station1,throughput_in_bps,274.6363636363636
2026-07-14T17:33:47+00:00,station1,throughput_in_bps,325.66046655393734
2026-07-14T17:34:02+00:00,station1,throughput_in_bps,272.45454545454544
2026-07-14T17:34:17+00:00,station1,throughput_in_bps,327.8363636363636
2026-07-14T17:34:32+00:00,station1,throughput_in_bps,274.6363636363636
2026-07-14T17:34:47+00:00,station1,throughput_in_bps,326.75139547991785
2026-07-14T17:35:02+00:00,station1,throughput_in_bps,273.54545454545456
2026-07-14T17:35:17+00:00,station1,throughput_in_bps,322.8181818181818
2026-07-14T17:35:32+00:00,station1,throughput_in_bps,272.3504063710249
2026-07-14T17:35:47+00:00,station1,throughput_in_bps,324.4545454545454
2026-07-14T17:36:02+00:00,station1,throughput_in_bps,271.2496136433883
2026-07-14T17:36:17+00:00,station1,throughput_in_bps,324.4545454545454
2026-07-14T17:36:32+00:00,station1,throughput_in_bps,270.7090909090909
2026-07-14T17:36:47+00:00,station1,throughput_in_bps,422.4804087347043
2026-07-14T17:37:02+00:00,station1,throughput_in_bps,578.1818181818181
2026-07-14T17:37:17+00:00,station1,throughput_in_bps,630.3023691339843
2026-07-14T17:37:32+00:00,station1,throughput_in_bps,578.1818181818181
2026-07-14T17:37:47+00:00,station1,throughput_in_bps,532.2727272727273
2026-07-14T17:38:02+00:00,station1,throughput_in_bps,272.3603105623943
2026-07-14T17:38:17+00:00,station1,throughput_in_bps,324.4545454545454
2026-07-14T17:38:32+00:00,station1,throughput_in_bps,280.2210788502445
2026-07-14T17:38:47+00:00,station1,throughput_in_bps,332.3454545454545
2026-07-14T17:39:02+00:00,station1,throughput_in_bps,279.13022926022217
2026-07-14T17:39:17+00:00,station1,throughput_in_bps,333.5515191185294
2026-07-14T17:39:32+00:00,station1,throughput_in_bps,271.89426031307386
2026-07-14T17:39:47+00:00,station1,throughput_in_bps,326.75139547991785
2026-07-14T17:40:02+00:00,station1,throughput_in_bps,271.3636363636363
2026-07-14T17:40:17+00:00,station1,throughput_in_bps,325.6545454545454
2026-07-14T17:40:32+00:00,station1,throughput_in_bps,271.9090909090909
2026-07-14T17:40:47+00:00,station1,throughput_in_bps,322.9214014290649
2026-07-14T17:41:02+00:00,station1,throughput_in_bps,269.7223686842057
2026-07-14T17:41:17+00:00,station1,throughput_in_bps,323.9090909090909
2026-07-14T17:41:32+00:00,station1,throughput_in_bps,270.7090909090909
2026-07-14T17:41:47+00:00,station1,throughput_in_bps,326.65418113715293
2026-07-14T17:42:02+00:00,station1,throughput_in_bps,270.17837336581994
2026-07-14T17:42:17+00:00,station1,throughput_in_bps,325.54545454545456
2026-07-14T17:42:32+00:00,station1,throughput_in_bps,273.4363636363636
2026-07-14T17:42:47+00:00,station1,throughput_in_bps,322.8181818181818
2026-07-14T17:43:02+00:00,station1,throughput_in_bps,268.5272727272727
2026-07-14T17:43:17+00:00,station1,throughput_in_bps,323.9149802723686
2026-07-14T17:43:32+00:00,station1,throughput_in_bps,270.7090909090909
2026-07-14T17:43:47+00:00,station1,throughput_in_bps,325.0
2026-07-14T17:44:02+00:00,station1,throughput_in_bps,272.3454545454545
2026-07-14T17:44:17+00:00,station1,throughput_in_bps,327.72727272727275
2026-07-14T17:44:32+00:00,station1,throughput_in_bps,273.43139215650626
2026-07-14T17:44:47+00:00,station1,throughput_in_bps,427.32727272727266
2026-07-14T17:45:02+00:00,station1,throughput_in_bps,372.49090909090904
2026-07-14T17:45:17+00:00,station1,throughput_in_bps,424.59999999999997
2026-07-14T17:45:32+00:00,station1,throughput_in_bps,271.79505827166776
2026-07-14T17:45:47+00:00,station1,throughput_in_bps,325.0
2026-07-14T17:46:02+00:00,station1,throughput_in_bps,272.8909090909091
2026-07-14T17:46:17+00:00,station1,throughput_in_bps,325.54545454545456
2026-07-14T17:46:32+00:00,station1,throughput_in_bps,272.3504063710249
2026-07-14T17:46:47+00:00,station1,throughput_in_bps,325.54545454545456
2026-07-14T17:47:02+00:00,station1,throughput_in_bps,271.7851753540716
2026-07-14T17:47:17+00:00,station1,throughput_in_bps,424.7090909090909
2026-07-14T17:47:32+00:00,station1,throughput_in_bps,371.50909090909084
2026-07-14T17:47:47+00:00,station1,throughput_in_bps,423.6412895248832
2026-07-14T17:48:02+00:00,station1,throughput_in_bps,271.9090909090909
2026-07-14T17:48:17+00:00,station1,throughput_in_bps,326.74545454545455
2026-07-14T17:48:32+00:00,station1,throughput_in_bps,273.53053469810743
2026-07-14T17:48:47+00:00,station1,throughput_in_bps,325.66046655393734
2026-07-14T17:49:02+00:00,station1,throughput_in_bps,270.2678133124852
2026-07-14T17:49:17+00:00,station1,throughput_in_bps,322.9096594731197
2026-07-14T17:49:32+00:00,station1,throughput_in_bps,270.8034107230515
2026-07-14T17:49:47+00:00,station1,throughput_in_bps,422.52727272727265
2026-07-14T17:50:02+00:00,station1,throughput_in_bps,368.2363636363636
2026-07-14T17:50:17+00:00,station1,throughput_in_bps,422.51959055289905
2026-07-14T17:50:32+00:00,station1,throughput_in_bps,287.8
2026-07-14T17:50:47+00:00,station1,throughput_in_bps,325.11500209094714
2026-07-14T17:51:02+00:00,station1,throughput_in_bps,270.8181818181818
2026-07-14T17:51:17+00:00,station1,throughput_in_bps,321.6181818181818
2026-07-14T17:51:32+00:00,station1,throughput_in_bps,268.4181818181818
2026-07-14T17:51:47+00:00,station1,throughput_in_bps,319.4305558080762
2026-07-14T17:52:02+00:00,station1,throughput_in_bps,266.25572768928646
2026-07-14T17:52:17+00:00,station1,throughput_in_bps,420.12727272727267
2026-07-14T17:52:32+00:00,station1,throughput_in_bps,369.2181818181818
2026-07-14T17:52:47+00:00,station1,throughput_in_bps,428.52207433267876
2026-07-14T17:53:02+00:00,station1,throughput_in_bps,377.6181818181818
2026-07-14T17:53:17+00:00,station1,throughput_in_bps,339.2181818181818
2026-07-14T17:53:32+00:00,station1,throughput_in_bps,293.07272727272726
2026-07-14T17:53:47+00:00,station1,throughput_in_bps,349.406352842779
2026-07-14T17:54:02+00:00,station1,throughput_in_bps,290.584149955457
2026-07-14T17:54:17+00:00,station1,throughput_in_bps,339.2662351828958
2026-07-14T17:54:32+00:00,station1,throughput_in_bps,276.1686576119566
2026-07-14T17:54:47+00:00,station1,throughput_in_bps,423.1741241068344
2026-07-14T17:55:02+00:00,station1,throughput_in_bps,372.1568698750932
2026-07-14T17:55:17+00:00,station1,throughput_in_bps,427.2467773313212
2026-07-14T17:55:32+00:00,station1,throughput_in_bps,376.2363636363636
2026-07-14T17:55:47+00:00,station1,throughput_in_bps,327.10909090909087
2026-07-14T17:56:02+00:00,station1,throughput_in_bps,275.94545454545454
2026-07-14T17:56:17+00:00,station1,throughput_in_bps,328.3454545454545
2026-07-14T17:56:32+00:00,station1,throughput_in_bps,275.1454545454545
2026-07-14T17:56:47+00:00,station1,throughput_in_bps,329.43037399320013
2026-07-14T17:57:02+00:00,station1,throughput_in_bps,272.57850428205177
2026-07-14T17:57:17+00:00,station1,throughput_in_bps,426.56363636363636
2026-07-14T17:57:32+00:00,station1,throughput_in_bps,373.3636363636363
2026-07-14T17:57:47+00:00,station1,throughput_in_bps,424.3818181818181
2026-07-14T17:58:02+00:00,station1,throughput_in_bps,372.7910697403825
2026-07-14T17:58:17+00:00,station1,throughput_in_bps,325.76363636363635
2026-07-14T17:58:32+00:00,station1,throughput_in_bps,273.6545454545454
2026-07-14T17:58:47+00:00,station1,throughput_in_bps,326.8545454545454
2026-07-14T17:59:02+00:00,station1,throughput_in_bps,272.0181818181818
2026-07-14T17:59:17+00:00,station1,throughput_in_bps,327.9216057014035
2026-07-14T17:59:32+00:00,station1,throughput_in_bps,275.83134852093593
2026-07-14T17:59:47+00:00,station1,throughput_in_bps,327.94545454545454
2026-07-14T18:00:02+00:00,station1,throughput_in_bps,273.10909090909087
2026-07-14T18:00:17+00:00,station1,throughput_in_bps,327.94545454545454
2026-07-14T18:00:32+00:00,station1,throughput_in_bps,275.83134852093593
2026-07-14T18:00:47+00:00,station1,throughput_in_bps,327.94545454545454
2026-07-14T18:01:02+00:00,station1,throughput_in_bps,275.83134852093593
2026-07-14T18:01:17+00:00,station1,throughput_in_bps,327.9394920092362
2026-07-14T18:01:32+00:00,station1,throughput_in_bps,275.84137893416244
2026-07-14T18:01:47+00:00,station1,throughput_in_bps,327.96930685868057
2026-07-14T18:02:02+00:00,station1,throughput_in_bps,274.73046924713196
2026-07-14T18:02:17+00:00,station1,throughput_in_bps,326.3150239095256
2026-07-14T18:02:32+00:00,station1,throughput_in_bps,275.8514100769133
2026-07-14T18:02:47+00:00,station1,throughput_in_bps,327.92756758722254
2026-07-14T18:03:02+00:00,station1,throughput_in_bps,372.3818181818181
2026-07-14T18:03:17+00:00,station1,throughput_in_bps,479.3454545454545
2026-07-14T18:03:32+00:00,station1,throughput_in_bps,486.55527880297444
2026-07-14T18:03:47+00:00,station1,throughput_in_bps,540.5916471208568
2026-07-14T18:04:02+00:00,station1,throughput_in_bps,404.97445500990887
2026-07-14T18:04:17+00:00,station1,throughput_in_bps,474.6640970164179
2026-07-14T18:04:32+00:00,station1,throughput_in_bps,415.2120154193032
2026-07-14T18:04:47+00:00,station1,throughput_in_bps,504.50909090909084
2026-07-14T18:05:02+00:00,station1,throughput_in_bps,405.76363636363635
2026-07-14T18:05:17+00:00,station1,throughput_in_bps,472.52727272727265
2026-07-14T18:05:32+00:00,station1,throughput_in_bps,346.4664278831294
2026-07-14T18:05:47+00:00,station1,throughput_in_bps,487.96363636363634
2026-07-14T18:06:02+00:00,station1,throughput_in_bps,427.79999999999995
2026-07-14T18:06:17+00:00,station1,throughput_in_bps,510.4363636363636
2026-07-14T18:06:32+00:00,station1,throughput_in_bps,446.79999999999995
