timestamp,host,drop_out_rate,jitter_ms,latency_ms,packet_loss_pct,throughput_in_bps,throughput_out_bps,vrf_route_count,throughput_in_mbps,throughput_out_mbps,fault_type,run_id
2026-07-20T14:18:31+00:00,station1,0.0,0.058,1.003,0.0,608965.7824403193,12169922.72867766,0.0,4.871726259522554,97.35938182942128,none,
2026-07-20T14:18:31+00:00,station2,0.0,0.072,0.789,0.0,9934076.527272727,498869.16363636364,0.0,79.47261221818182,3.990953309090909,none,
2026-07-20T14:18:31+00:00,station3,0.0,0.373,1.794,0.0,239.09090909090907,1306.9818181818182,,0.0019127272727272725,0.010455854545454545,none,
2026-07-20T14:18:46+00:00,station1,0.0,2.289,1.794,0.0,507631.98181818175,10256550.363636363,0.0,4.061055854545454,82.0524029090909,none,
2026-07-20T14:18:46+00:00,station2,0.0,2.239,1.823,0.0,12487868.29090909,620585.2363636363,0.0,99.90294632727272,4.964681890909091,none,
2026-07-20T14:18:46+00:00,station3,0.0,0.309,2.124,0.0,195.1090909090909,1087.9999999999998,,0.001560872727272727,0.008703999999999998,none,
2026-07-20T14:19:01+00:00,station1,0.0,0.132,0.827,0.0,468080.35925313167,10327018.508081378,0.0,3.7446428740250535,82.61614806465103,none,
2026-07-20T14:19:01+00:00,station2,0.0,0.264,0.469,0.0,8816792.363636363,397114.34545454546,0.0,70.5343389090909,3.1769147636363635,none,
2026-07-20T14:19:01+00:00,station3,0.0,0.03,0.231,0.0,234.47272727272727,1305.0181818181816,,0.001875781818181818,0.010440145454545453,none,
2026-07-20T14:19:16+00:00,station1,0.0,0.969,1.482,0.0,356662.8,8093352.654545454,0.0,2.8533024,64.74682123636363,none,
2026-07-20T14:19:16+00:00,station2,0.0,1.477,1.855,0.0,10326481.218181817,469780.3272727272,0.0,82.61184974545453,3.758242618181818,none,
2026-07-20T14:19:16+00:00,station3,0.0,0.528,1.639,0.0,195.45454545454544,1085.9636363636362,,0.0015636363636363636,0.00868770909090909,none,
2026-07-20T14:19:31+00:00,station1,0.0,0.094,0.695,0.0,468936.39999999997,10324856.927272728,0.0,3.7514912,82.59885541818183,none,
2026-07-20T14:19:31+00:00,station2,0.0,1.527,1.9,0.0,8090714.527272727,358355.94545454544,0.0,64.72571621818182,2.8668475636363633,none,
