ts,p_anom,pred,p_healthy,p_congestion_breach,p_tunnel_degradation,p_bgp_route_flap,p_vrf_leakage
2026-07-21 17:12:00+00:00,0.5715731978416443,bgp_route_flap,0.35240477323532104,0.0006599045009352267,0.00787495169788599,0.5316398739814758,0.10742047429084778
2026-07-21 17:12:30+00:00,0.4426054060459137,healthy(gate),0.457009881734848,0.0012437562691047788,0.0027634743601083755,0.4725009500980377,0.06648191064596176
2026-07-21 17:13:00+00:00,0.5732625722885132,healthy,0.48982134461402893,0.0006524553755298257,0.0029635548125952482,0.4389926493167877,0.0675700455904007
2026-07-21 17:13:30+00:00,0.05889265611767769,healthy(gate),0.8675180673599243,0.00017143847071565688,0.0005321375210769475,0.11476954817771912,0.017008835449814796
2026-07-21 17:14:00+00:00,0.5278952121734619,bgp_route_flap,0.3226592540740967,0.0006734072230756283,0.002651020884513855,0.5505473017692566,0.12346907705068588
2026-07-21 17:14:30+00:00,0.3347236216068268,healthy(gate),0.6053253412246704,0.00034416859853081405,0.008254577405750751,0.33481863141059875,0.05125727504491806
2026-07-21 17:15:00+00:00,0.1889200359582901,healthy(gate),0.6966111660003662,0.0017202012240886688,0.000930480717215687,0.20566114783287048,0.09507694095373154
2026-07-21 17:15:30+00:00,0.11823002994060516,healthy(gate),0.8486936092376709,0.001032756525091827,0.0021998167503625154,0.06931270658969879,0.07876107841730118
2026-07-21 17:16:00+00:00,0.3779996633529663,healthy(gate),0.7178133726119995,0.014318914152681828,0.0005319128395058215,0.1473853886127472,0.11995043605566025
2026-07-21 17:16:30+00:00,0.36070960760116577,healthy(gate),0.5291516184806824,0.004570927936583757,0.002514251507818699,0.38393428921699524,0.0798289030790329
2026-07-21 17:17:00+00:00,0.2575393319129944,healthy(gate),0.7018449902534485,0.0013484748778864741,0.0028309558983892202,0.1942993402481079,0.099676214158535
2026-07-21 17:17:30+00:00,0.3570062518119812,healthy(gate),0.42507827281951904,0.0029651953373104334,0.0023953188210725784,0.5065776109695435,0.06298360973596573
2026-07-21 17:18:00+00:00,0.5365093946456909,bgp_route_flap,0.2003002166748047,0.0016744921449571848,0.0032607680186629295,0.7540160417556763,0.040748514235019684
2026-07-21 17:18:30+00:00,0.3424789011478424,healthy(gate),0.5269294381141663,0.0014787418767809868,0.0059690759517252445,0.4031224250793457,0.06250034272670746
2026-07-21 17:19:00+00:00,0.5437296628952026,bgp_route_flap,0.23339161276817322,0.0014850384322926402,0.004934300668537617,0.7378560900688171,0.022332923486828804
2026-07-21 17:19:30+00:00,0.441969096660614,healthy(gate),0.2543933391571045,0.0019230627221986651,0.027536876499652863,0.6862207055091858,0.029926029965281487
2026-07-21 17:20:00+00:00,0.43289920687675476,healthy(gate),0.4068564176559448,0.002110159257426858,0.01442730613052845,0.5317463874816895,0.044859759509563446
2026-07-21 17:20:30+00:00,0.5310889482498169,healthy,0.7222942113876343,0.0007682576542720199,0.02840093895792961,0.21089376509189606,0.03764283284544945
